time,confidence,label
2023-02-08-15-52-55,0.06622406840324402,Power Tool
2023-02-08-15-52-59,0.15090464055538177,Hedge Trimmer
2023-02-08-15-52-52,0.18014563620090485,Power Tool
2023-02-08-15-52-51,0.1311262845993042,Drill
2023-02-08-15-53-03,0.009494875557720661,Power Tool
2023-02-08-15-53-02,0.007802404463291168,Sewing Machine
2023-02-08-15-52-49,0.5413881540298462,Rail Transport
2023-02-08-15-53-04,0.005061163101345301,Sewing Machine
2023-02-08-15-53-08,0.2736252248287201,Rail Transport
2023-02-08-15-53-04,0.005004677455872297,Sewing Machine
2023-02-08-15-52-58,0.3341086506843567,Hedge Trimmer
2023-02-08-15-53-03,0.05864708498120308,Engine
2023-02-08-15-52-48,0.23721958696842194,Rail Transport
2023-02-08-15-53-01,0.005989385303109884,Drill
2023-02-08-15-53-00,0.053195446729660034,Engine
2023-02-08-15-52-59,0.7711103558540344,Power Tool
2023-02-08-15-52-54,0.0030066107865422964,Rail Transport
2023-02-08-15-53-01,0.002878317842260003,Hedge Trimmer
2023-02-08-15-52-58,0.5285346508026123,Hedge Trimmer
2023-02-08-15-52-53,0.0714278444647789,Drill
2023-02-08-15-52-50,0.04369541257619858,Rail Transport
2023-02-08-15-53-00,0.00852071214467287,Hedge Trimmer
2023-02-08-15-53-03,0.002659405814483762,Drill
2023-02-08-15-52-55,0.049239177256822586,Power Tool
2023-02-08-15-53-04,0.010142426006495953,Power Tool
2023-02-08-15-52-57,0.583220899105072,Engine
2023-02-08-15-53-00,0.0036378060467541218,Hedge Trimmer
2023-02-08-15-52-58,0.08941052854061127,Engine
2023-02-08-15-53-00,0.015216520056128502,Engine
2023-02-08-15-52-55,0.018067335709929466,Drill
2023-02-08-15-52-54,0.07221594452857971,Drill
2023-02-08-15-53-02,0.05637207627296448,Engine
2023-02-08-15-53-01,0.0008405157132074237,Hedge Trimmer
2023-02-08-15-52-52,0.0028586876578629017,Rail Transport
2023-02-08-15-52-53,0.0032762896735221148,Rail Transport
2023-02-08-15-52-55,0.036120861768722534,Drill
2023-02-08-15-53-00,0.04504554346203804,Engine
2023-02-08-15-53-03,0.005743750836700201,Power Tool
2023-02-08-15-52-54,0.2103167027235031,Power Tool
2023-02-08-15-52-51,0.7294646501541138,Power Tool
2023-02-08-15-52-52,0.003674964653328061,Rail Transport
2023-02-08-15-53-03,0.006194158457219601,Power Tool
2023-02-08-15-52-54,0.057861655950546265,Drill
2023-02-08-15-53-01,0.005866542458534241,Power Tool
2023-02-08-15-52-52,0.0636730045080185,Drill
2023-02-08-15-52-52,0.0801498293876648,Drill
2023-02-08-15-53-00,0.19192123413085938,Drill
2023-02-08-15-53-02,0.002438774798065424,Hedge Trimmer
2023-02-08-15-52-55,0.02911081723868847,Drill
2023-02-08-15-53-03,0.0048075346276164055,Drill
2023-02-08-15-52-59,0.4862152934074402,Hedge Trimmer
2023-02-08-15-53-01,0.0013265780871734023,Hedge Trimmer
2023-02-08-15-53-03,0.0010442438069730997,Hedge Trimmer
2023-02-08-15-52-55,0.07527746260166168,Drill
2023-02-08-15-53-00,0.007173546589910984,Power Tool
2023-02-08-15-52-55,0.07088156789541245,Power Tool
2023-02-08-15-52-53,0.07264766097068787,Drill
2023-02-08-15-53-03,0.010831484571099281,Power Tool
2023-02-08-15-53-03,0.002748727798461914,Drill
2023-02-08-15-53-01,0.005441997200250626,Drill
2023-02-08-15-53-01,0.008629060350358486,Drill
2023-02-08-15-53-04,0.00387090933509171,Sewing Machine
2023-02-08-15-52-55,0.032451044768095016,Power Tool
2023-02-08-15-53-04,0.007809619419276714,Sewing Machine
2023-02-08-15-53-02,0.0050926958210766315,Drill
2023-02-08-15-52-59,0.5709783434867859,Sewing Machine
2023-02-08-15-52-53,0.003902624361217022,Rail Transport
2023-02-08-15-52-54,0.12325894832611084,Drill
2023-02-08-15-53-02,0.06679226458072662,Engine
2023-02-08-15-53-06,0.17682798206806183,Rail Transport
2023-02-08-15-52-46,0.5310580134391785,Rail Transport
2023-02-08-15-53-02,0.06322020292282104,Engine
2023-02-08-15-53-03,0.0009053891408257186,Hedge Trimmer
2023-02-08-15-52-52,0.002511541126295924,Rail Transport
2023-02-08-15-53-06,0.3082324266433716,Rail Transport
2023-02-08-15-53-03,0.0024660597555339336,Hedge Trimmer
2023-02-08-15-53-07,0.34912827610969543,Rail Transport
2023-02-08-15-52-50,0.7441465258598328,Power Tool
2023-02-08-15-53-01,0.04398098215460777,Engine
2023-02-08-15-53-02,0.002033161697909236,Drill
2023-02-08-15-52-51,0.23164567351341248,Power Tool
2023-02-08-15-52-52,0.06637000292539597,Drill
2023-02-08-15-52-48,0.17261448502540588,Rail Transport
2023-02-08-15-53-01,0.009130308404564857,Power Tool
2023-02-08-15-53-01,0.027109185233712196,Sewing Machine
2023-02-08-15-52-47,0.3265751302242279,Rail Transport
2023-02-08-15-52-46,0.4263550937175751,Rail Transport
2023-02-08-15-53-01,0.047787051647901535,Engine
2023-02-08-15-53-08,0.35161522030830383,Rail Transport
2023-02-08-15-53-02,0.005997031461447477,Power Tool
2023-02-08-15-52-51,0.7240625619888306,Power Tool
2023-02-08-15-53-00,0.0006870917859487236,Hedge Trimmer
2023-02-08-15-52-51,0.22098055481910706,Drill
2023-02-08-15-52-52,0.14525286853313446,Power Tool
2023-02-08-15-53-01,0.004290258511900902,Drill
2023-02-08-15-52-58,0.06578067690134048,Engine
2023-02-08-15-52-53,0.0038242258597165346,Rail Transport
2023-02-08-15-52-53,0.07991142570972443,Drill
2023-02-08-15-52-54,0.1392989307641983,Power Tool
2023-02-08-15-53-00,0.3214496672153473,Power Tool
2023-02-08-15-52-53,0.07345680147409439,Drill
2023-02-08-15-53-03,0.005658612586557865,Power Tool
2023-02-08-15-53-02,0.005187630653381348,Power Tool
2023-02-08-15-52-53,0.1315148025751114,Power Tool
2023-02-08-15-52-52,0.08129347115755081,Drill
2023-02-08-15-53-00,0.03323972597718239,Sewing Machine
2023-02-08-15-53-01,0.04014831781387329,Engine
2023-02-08-15-53-03,0.011391709558665752,Sewing Machine
2023-02-08-15-53-06,0.3050867021083832,Rail Transport
2023-02-08-15-53-07,0.3494005799293518,Rail Transport
2023-02-08-15-53-00,0.24123279750347137,Drill
2023-02-08-15-53-02,0.0013073425507172942,Hedge Trimmer
2023-02-08-15-52-57,0.5400517582893372,Engine
2023-02-08-15-52-59,0.29694876074790955,Engine
2023-02-08-15-52-52,0.0036306544207036495,Rail Transport
2023-02-08-15-53-01,0.011594060808420181,Power Tool
2023-02-08-15-53-00,0.7437809705734253,Power Tool
2023-02-08-15-53-00,0.6912409067153931,Sewing Machine
2023-02-08-15-53-03,0.00209427485242486,Hedge Trimmer
2023-02-08-15-53-00,0.0012220459757372737,Hedge Trimmer
2023-02-08-15-53-00,0.03180304542183876,Engine
2023-02-08-15-53-01,0.010456605814397335,Sewing Machine
2023-02-08-15-53-03,0.0029126890003681183,Drill
2023-02-08-15-53-04,0.005884635727852583,Drill
2023-02-08-15-53-03,0.0052616288885474205,Power Tool
2023-02-08-15-53-01,0.0012421001447364688,Hedge Trimmer
2023-02-08-15-53-00,0.009846811182796955,Drill
2023-02-08-15-52-59,0.25910162925720215,Hedge Trimmer
2023-02-08-15-52-51,0.000818118336610496,Rail Transport
2023-02-08-15-53-01,0.002694609807804227,Drill
2023-02-08-15-52-59,0.014021546579897404,Engine
2023-02-08-15-52-54,0.003280861768871546,Rail Transport
2023-02-08-15-53-03,0.004201096948236227,Hedge Trimmer
2023-02-08-15-52-57,0.10262307524681091,Engine
2023-02-08-15-52-55,0.14284704625606537,Power Tool
2023-02-08-15-52-53,0.15904568135738373,Power Tool
2023-02-08-15-52-49,0.2180231809616089,Rail Transport
2023-02-08-15-52-57,0.42429596185684204,Engine
2023-02-08-15-52-54,0.04851201921701431,Drill
2023-02-08-15-53-02,0.012259981594979763,Sewing Machine
2023-02-08-15-53-04,0.01378581766039133,Power Tool
2023-02-08-15-52-59,0.765453577041626,Sewing Machine
2023-02-08-15-53-00,0.018005503341555595,Sewing Machine
2023-02-08-15-52-47,0.3920178711414337,Rail Transport
2023-02-08-15-53-00,0.6233571767807007,Sewing Machine
2023-02-08-15-53-02,0.03541536256670952,Sewing Machine
2023-02-08-15-53-05,0.6008800268173218,Rail Transport
2023-02-08-15-52-51,0.13331709802150726,Power Tool
2023-02-08-15-52-53,0.07014013826847076,Drill
2023-02-08-15-53-04,0.009354578331112862,Power Tool
2023-02-08-15-53-03,0.008831104263663292,Sewing Machine
2023-02-08-15-52-50,0.18039263784885406,Rail Transport
2023-02-08-15-53-04,0.015432339161634445,Sewing Machine
2023-02-08-15-52-52,0.14782832562923431,Power Tool
2023-02-08-15-53-02,0.0007934602908790112,Hedge Trimmer
2023-02-08-15-53-02,0.008382617495954037,Power Tool
2023-02-08-15-53-03,0.00478984322398901,Drill
2023-02-08-15-53-01,0.022850966081023216,Sewing Machine
2023-02-08-15-53-03,0.004055712837725878,Sewing Machine
2023-02-08-15-53-00,0.3102453649044037,Drill
2023-02-08-15-53-02,0.01872129924595356,Sewing Machine
2023-02-08-15-53-05,0.5568390488624573,Rail Transport
2023-02-08-15-53-00,0.9592965841293335,Sewing Machine
2023-02-08-15-53-04,0.014446577057242393,Power Tool
2023-02-08-15-52-45,0.5362764000892639,Rail Transport
2023-02-08-15-52-53,0.1555868238210678,Power Tool
2023-02-08-15-52-46,0.5571601986885071,Rail Transport
2023-02-08-15-53-02,0.0120331896468997,Sewing Machine
2023-02-08-15-53-03,0.006102045997977257,Drill
2023-02-08-15-52-50,0.43350473046302795,Rail Transport
2023-02-08-15-53-03,0.010307439602911472,Power Tool
2023-02-08-15-53-00,0.08752213418483734,Engine
2023-02-08-15-52-49,0.20380595326423645,Rail Transport
2023-02-08-15-53-06,0.5219377875328064,Rail Transport
2023-02-08-15-52-55,0.021526113152503967,Drill
2023-02-08-15-53-04,0.006220543757081032,Drill
2023-02-08-15-52-52,0.20838621258735657,Power Tool
2023-02-08-15-52-47,0.26319390535354614,Rail Transport
2023-02-08-15-52-59,0.05824749544262886,Hedge Trimmer
2023-02-08-15-52-51,0.6490606665611267,Drill
2023-02-08-15-53-00,0.6595193147659302,Drill
2023-02-08-15-53-03,0.004160918295383453,Sewing Machine
2023-02-08-15-52-51,0.18397797644138336,Power Tool
