time,confidence,label
2023-02-08-16-01-04,0.012578421272337437,Rail Transport
2023-02-08-16-01-00,0.05372633412480354,Door
2023-02-08-16-01-26,0.5167425274848938,Rail Transport
2023-02-08-16-01-06,0.186149463057518,Power Tool
2023-02-08-16-01-08,0.10760808736085892,Power Tool
2023-02-08-16-01-06,0.0060963137075304985,Rail Transport
2023-02-08-16-01-09,0.07765014469623566,Power Tool
2023-02-08-16-01-28,0.41470614075660706,Rail Transport
2023-02-08-16-01-16,0.014848095364868641,Sewing Machine
2023-02-08-16-01-26,0.49079906940460205,Rail Transport
2023-02-08-16-01-03,0.3779045045375824,Rail Transport
2023-02-08-16-00-59,0.06018862873315811,Door
2023-02-08-16-01-08,0.032064735889434814,Blender
2023-02-08-16-01-08,0.11653698235750198,Power Tool
2023-02-08-16-00-57,0.31017589569091797,Rail Transport
2023-02-08-16-01-05,0.5486195683479309,Engine
2023-02-08-16-01-09,0.021518344059586525,Blender
2023-02-08-16-01-03,0.39413365721702576,Rail Transport
2023-02-08-16-01-10,0.4096421003341675,Engine
2023-02-08-16-01-06,0.5552197098731995,Engine
2023-02-08-16-01-02,0.2937123477458954,Rail Transport
2023-02-08-16-00-59,0.06294045597314835,Door
2023-02-08-16-01-05,0.1295589655637741,Power Tool
2023-02-08-16-01-09,0.06081763282418251,Engine
2023-02-08-16-00-58,0.15930674970149994,Door
2023-02-08-16-01-20,0.5364289879798889,Rail Transport
2023-02-08-16-01-27,0.5039268732070923,Rail Transport
2023-02-08-16-01-23,0.33509361743927,Rail Transport
2023-02-08-16-01-26,0.5105029940605164,Rail Transport
2023-02-08-16-01-06,0.005686917807906866,Rail Transport
2023-02-08-16-01-08,0.12957507371902466,Power Tool
2023-02-08-16-01-02,0.05086163431406021,Door
2023-02-08-16-01-14,0.034709542989730835,Engine
2023-02-08-16-01-07,0.2545311152935028,Power Tool
2023-02-08-16-01-00,0.1293283998966217,Rail Transport
2023-02-08-16-01-10,0.14623233675956726,Power Tool
2023-02-08-16-01-08,0.4265216588973999,Engine
2023-02-08-16-01-15,0.1564168930053711,Engine
2023-02-08-16-01-09,0.25975301861763,Power Tool
2023-02-08-16-01-01,0.052812110632658005,Door
2023-02-08-16-01-08,0.2943464517593384,Power Tool
2023-02-08-16-01-07,0.007919888943433762,Rail Transport
2023-02-08-16-01-25,0.37080344557762146,Rail Transport
2023-02-08-16-01-14,0.0037682303227484226,Power Tool
2023-02-08-16-01-13,0.043979521840810776,Power Tool
2023-02-08-16-00-59,0.21456606686115265,Door
2023-02-08-16-01-07,0.00505815539509058,Rail Transport
2023-02-08-16-01-09,0.09583376348018646,Power Tool
2023-02-08-16-00-57,0.5634222626686096,Rail Transport
2023-02-08-16-01-00,0.06903206557035446,Door
2023-02-08-16-01-08,0.014589034020900726,Rail Transport
2023-02-08-16-01-27,0.6020347476005554,Rail Transport
2023-02-08-16-01-14,0.007628956809639931,Power Tool
2023-02-08-16-01-05,0.0008663994376547635,Rail Transport
2023-02-08-16-01-01,0.41182997822761536,Rail Transport
2023-02-08-16-01-24,0.3201506733894348,Rail Transport
2023-02-08-16-01-08,0.011909499764442444,Blender
2023-02-08-16-01-16,0.007896017283201218,Power Tool
2023-02-08-16-01-13,0.12215989083051682,Power Tool
2023-02-08-16-01-03,0.4595779478549957,Rail Transport
2023-02-08-16-00-58,0.3639827072620392,Door
2023-02-08-16-01-05,0.1566476821899414,Blender
2023-02-08-16-01-07,0.004409568849951029,Rail Transport
2023-02-08-16-01-25,0.27922001481056213,Rail Transport
2023-02-08-16-01-23,0.32228177785873413,Rail Transport
2023-02-08-16-01-15,0.0701422318816185,Engine
2023-02-08-16-01-05,0.2965222895145416,Power Tool
2023-02-08-16-01-16,0.013526586815714836,Sewing Machine
2023-02-08-16-01-25,0.44231683015823364,Rail Transport
2023-02-08-16-01-12,0.012553701177239418,Engine
2023-02-08-16-01-27,0.5765887498855591,Rail Transport
2023-02-08-16-01-06,0.379090815782547,Engine
2023-02-08-16-01-13,0.8286710381507874,Sewing Machine
2023-02-08-16-01-08,0.052610475569963455,Blender
2023-02-08-16-01-01,0.47559523582458496,Rail Transport
2023-02-08-16-01-14,0.012925188057124615,Engine
2023-02-08-16-01-17,0.0060578519478440285,Power Tool
2023-02-08-16-00-58,0.31779971718788147,Door
2023-02-08-16-01-21,0.3787640333175659,Rail Transport
2023-02-08-16-01-24,0.34596407413482666,Rail Transport
2023-02-08-16-01-13,0.08206941187381744,Power Tool
2023-02-08-16-00-57,0.3910074532032013,Rail Transport
2023-02-08-16-01-16,0.009728752076625824,Power Tool
2023-02-08-16-01-11,0.14394085109233856,Power Tool
2023-02-08-16-01-15,0.0148167097941041,Power Tool
2023-02-08-16-01-13,0.2142057716846466,Power Tool
2023-02-08-16-01-06,0.32215219736099243,Engine
2023-02-08-16-01-00,0.22680819034576416,Rail Transport
2023-02-08-16-01-03,0.3477655053138733,Rail Transport
2023-02-08-16-00-59,0.28313931822776794,Rail Transport
2023-02-08-16-01-01,0.05109347030520439,Door
2023-02-08-16-01-05,0.027392078191041946,Blender
2023-02-08-16-01-15,0.005029790569096804,Sewing Machine
2023-02-08-16-01-21,0.3265626132488251,Rail Transport
2023-02-08-16-01-08,0.01455341000109911,Rail Transport
2023-02-08-16-01-11,0.44751250743865967,Engine
2023-02-08-16-01-11,0.07889501005411148,Power Tool
2023-02-08-16-00-57,0.6355195641517639,Door
2023-02-08-16-01-06,0.029690394178032875,Blender
2023-02-08-16-01-14,0.3015568256378174,Power Tool
2023-02-08-16-01-10,0.4063352048397064,Power Tool
2023-02-08-16-01-15,0.05943753942847252,Engine
2023-02-08-16-00-57,0.583250880241394,Door
2023-02-08-16-01-11,0.38851675391197205,Engine
2023-02-08-16-01-09,0.012630235403776169,Blender
2023-02-08-16-01-15,0.11156750470399857,Engine
2023-02-08-16-01-01,0.044692352414131165,Door
2023-02-08-16-01-09,0.06265141814947128,Engine
2023-02-08-16-01-29,0.21104954183101654,Rail Transport
2023-02-08-16-01-20,0.4889344573020935,Rail Transport
2023-02-08-16-01-15,0.004139456897974014,Sewing Machine
2023-02-08-16-01-04,0.82566899061203,Blender
2023-02-08-16-01-29,0.32011306285858154,Rail Transport
2023-02-08-16-01-13,0.0009789103642106056,Engine
